ID,observed_on,time_observed_at,user_id,user_login,updated_at,url,image_url,description,num_identification_agreements,place_guess,latitude,longitude,species_guess,scientific_name,taxon_id
17074675,9/30/18,2018-09-30 20:00:18 UTC,975858,laurajean_traveling,2019-03-09 23:16:24 UTC,https://www.inaturalist.org/observations/17074675,https://static.inaturalist.org/photos/25868868/medium.jpeg?1538362571,,2,"101 Pine Grove Rd, Fayetteville, PA 17222, USA",39.90948915,-77.47936741,Painted Suillus,Suillus spraguei,782231
17076711,9/30/18,2018-09-30 20:49:44 UTC,1108556,jody41,2019-08-21 06:34:48 UTC,https://www.inaturalist.org/observations/17076711,https://static.inaturalist.org/photos/25846688/medium.jpg?1538340611,,2,"Frances Slocum State Park, Shavertown, PA, US",41.33391573,-75.8982851,Painted Suillus,Suillus spraguei,782231
17077413,9/30/18,2018-09-30 21:05:40 UTC,1108556,jody41,2018-10-02 00:04:52 UTC,https://www.inaturalist.org/observations/17077413,https://static.inaturalist.org/photos/25847938/medium.jpg?1538341549,,3,"Frances Slocum State Park, Shavertown, PA, US",41.33306166,-75.89792543,Painted Suillus,Suillus spraguei,782231
17082802,9/28/18,2018-09-28 19:05:45 UTC,534001,pamdarrow,2018-10-02 20:41:23 UTC,https://www.inaturalist.org/observations/17082802,https://static.inaturalist.org/photos/25858984/medium.jpg?1538351077,,1,"Pearl Hill State Park, Ma.",42.657184,-71.755904,Painted Suillus,Suillus spraguei,782231
17088414,9/30/18,2018-09-30 20:13:31 UTC,975858,laurajean_traveling,2019-01-22 06:49:03 UTC,https://www.inaturalist.org/observations/17088414,https://static.inaturalist.org/photos/25869021/medium.jpeg?1538362758,,2,"101 Pine Grove Rd, Fayetteville, PA 17222, USA",39.90919635,-77.47968448,Painted Suillus,Suillus spraguei,782231
17089870,9/30/18,2018-09-30 15:29:34 UTC,170354,pdvmushroom,2020-06-11 03:35:25 UTC,https://www.inaturalist.org/observations/17089870,https://static.inaturalist.org/photos/25872627/medium.jpg?1538367486,,2,"Manzanita Regional Park, Monterey County, US-CA, US",36.80191838,-121.6777867,Pungent Slippery Jack,Suillus pungens,118158
17092288,9/29/18,2018-09-29 18:26:00 UTC,772856,deathtofalsemorels,2018-10-08 16:14:42 UTC,https://www.inaturalist.org/observations/17092288,https://static.inaturalist.org/photos/25875918/medium.jpg?1538374985,under Douglas-fir,1,"Linnton, Portland, OR, USA",45.583484,-122.781372,Fat Jack,Suillus caerulescens,63505
17095365,9/30/18,2018-09-30 16:59:53 UTC,969915,jeremygraves,2018-10-03 01:36:56 UTC,https://www.inaturalist.org/observations/17095365,https://static.inaturalist.org/photos/25881912/medium.jpg?1538397105,,1,"Norfolk County, , ON, CA",42.71218833,-80.358795,Painted Suillus,Suillus spraguei,782231
17095576,9/29/18,2018-09-29 15:40:49 UTC,116988,stephen_bucklin,2018-10-16 05:09:10 UTC,https://www.inaturalist.org/observations/17095576,https://static.inaturalist.org/photos/25882345/medium.jpg?1538398207,,2,"1921 Bilgers Rocks Rd, Grampian, PA, US",40.99389167,-78.59217833,Painted Suillus,Suillus spraguei,782231
17097576,9/27/18,2018-09-27 22:11:35 UTC,1097738,redbellyacres,2020-06-02 09:57:04 UTC,https://www.inaturalist.org/observations/17097576,https://static.inaturalist.org/photos/25885925/medium.jpg?1538403313,,2,"Killarney Provincial Park, Killarney, ON, CA",46.02770301,-81.39436011,Painted Suillus,Suillus spraguei,782231
17105239,10/1/18,2018-10-01 18:56:10 UTC,1191988,ksucic,2018-10-06 03:21:10 UTC,https://www.inaturalist.org/observations/17105239,https://static.inaturalist.org/photos/25900456/medium.jpg?1538420190,,1,"Endicott College, Beverly, MA, US",42.55353805,-70.84413989,Chicken Fat Mushroom,Suillus americanus,125716
